#Release 14.3 - par P.40xd (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue Feb  2 18:12:45 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       telescope_map.ncd
#OUTPUT FILE:      telescope_pad.csv
#PART TYPE:        xc5vlx50
#SPEED GRADE:      -2
#PACKAGE:          ff676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
E18,,IOBM,IO_L7P_GC_3,UNUSED,,3,,,,,,,,,
E19,,,GND,,,,,,,,,,,,
E20,adcI2Rst_n,IOB,IO_L1N_11,TRISTATE,LVCMOS18,11,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
E21,adcQH1Sclk,IOB,IO_L1P_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
E22,adcQH1Sdo,IOB,IO_L2P_11,INPUT,LVCMOS18,11,,,,NONE,,LOCATED,NO,NONE,
E23,adcQH1Cs_n,IOB,IO_L2N_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
E24,,,VCCO_15,,,15,,,,,any******,,,,
E25,adcQ2_p<0>,IOB,IO_L1P_SM7P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
E26,adcQ2_n<0>,IOB,IO_L1N_SM7N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
F1,,,GND,,,,,,,,,,,,
F2,riserv_p<2>,IOBM,IO_L3P_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
F3,riserv_p<0>,IOB,IO_L1P_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
F4,ucSpiSs_n,IOB,IO_L3N_12,INPUT,LVCMOS33,12,,,PULLUP,NONE,,LOCATED,NO,NONE,
F5,ucSpiSck,IOB,IO_L3P_12,INPUT,LVCMOS33,12,,,,NONE,,LOCATED,NO,NONE,
F6,,,GND,,,,,,,,,,,,
F7,dataUsb<1>,IOB,IO_L0N_12,BIDIR,LVCMOS33,12,12,SLOW,,NONE,,LOCATED,NO,NONE,
F8,,IOBM,IO_L8P_GC_3,UNUSED,,3,,,,,,,,,
F9,sysClk_p,IOB,IO_L6P_GC_3,INPUT,LVDS_25,3,,,,NONE,,LOCATED,NO,NONE,
F10,sysClk_n,IOB,IO_L6N_GC_3,INPUT,LVDS_25,3,,,,NONE,,LOCATED,NO,NONE,
F11,,,VCCO_1,,,1,,,,,1.80,,,,
F12,,IOBS,IO_L2N_GC_VRP_3,UNUSED,,3,,,,,,,,,
F13,,IOBS,IO_L0N_A18_1,UNUSED,,1,,,,,,,,,
F14,free_n,IOB,IO_L0P_CC_GC_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F15,,IOBM,IO_L2P_A15_D31_1,UNUSED,,1,,,,,,,,,
F16,,,GND,,,,,,,,,,,,
F17,,IOBS,IO_L9N_GC_3,UNUSED,,3,,,,,,,,,
F18,,IOBM,IO_L9P_GC_3,UNUSED,,3,,,,,,,,,
F19,,IOBS,IO_L7N_GC_3,UNUSED,,3,,,,,,,,,
F20,adcI2Cs_n,IOB,IO_L0N_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
F21,,,VCCO_11,,,11,,,,,1.80,,,,
F22,adcQH1Sdio,IOB,IO_L3P_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
F23,,IOBS,IO_L3N_11,UNUSED,,11,,,,,,,,,
F24,adcQ2_p<1>,IOB,IO_L0P_SM8P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
F25,adcQ2_n<1>,IOB,IO_L0N_SM8N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
F26,,,GND,,,,,,,,,,,,
G1,riserv_p<3>,IOBM,IO_L2P_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
G2,riserv_n<2>,IOBS,IO_L3N_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
G3,,,GND,,,,,,,,,,,,
G4,dataUsb<5>,IOB,IO_L6N_12,BIDIR,LVCMOS33,12,12,SLOW,,NONE,,LOCATED,NO,NONE,
G5,dataUsb<4>,IOB,IO_L5N_12,BIDIR,LVCMOS33,12,12,SLOW,,NONE,,LOCATED,NO,NONE,
G6,dataUsb<3>,IOB,IO_L2P_12,BIDIR,LVCMOS33,12,12,SLOW,,NONE,,LOCATED,NO,NONE,
G7,dataUsb<2>,IOB,IO_L2N_12,BIDIR,LVCMOS33,12,12,SLOW,,NONE,,LOCATED,NO,NONE,
G8,,,VCCO_16,,,16,,,,,any******,,,,
G9,,IOBS,IO_L7N_A4_D20_1,UNUSED,,1,,,,,,,,,
G10,,IOBM,IO_L7P_A5_D21_1,UNUSED,,1,,,,,,,,,
G11,,IOBS,IO_L5N_A8_D24_1,UNUSED,,1,,,,,,,,,
G12,,IOBM,IO_L3P_A13_D29_1,UNUSED,,1,,,,,,,,,
G13,,,GND,,,,,,,,,,,,
G14,,IOBM,IO_L0P_A19_1,UNUSED,,1,,,,,,,,,
G15,,IOBS,IO_L2N_A14_D30_1,UNUSED,,1,,,,,,,,,
G16,adcQL1Sclk,IOB,IO_L4P_A11_D27_1,OUTPUT,LVCMOS18,1,12,SLOW,,,,LOCATED,NO,NONE,
G17,adcQL1Cs_n,IOB,IO_L6N_A6_D22_1,OUTPUT,LVCMOS18,1,12,SLOW,,,,LOCATED,NO,NONE,
G18,,,GND,,,,,,,,,,,,
G19,adcQL1Sdio,IOB,IO_L8P_CC_A3_D19_1,OUTPUT,LVCMOS18,1,12,SLOW,,,,LOCATED,NO,NONE,
G20,adcI2Sdo,IOB,IO_L0P_11,INPUT,LVCMOS18,11,,,,NONE,,LOCATED,NO,NONE,
G21,adcI2Sclk,IOB,IO_L4P_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
G22,,IOBS,IO_L4N_VREF_11,UNUSED,,11,,,,,,,,,
G23,,,GND,,,,,,,,,,,,
G24,adcQ2_p<2>,IOB,IO_L3P_SM5P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
G25,adcQ2_n<2>,IOB,IO_L3N_SM5N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
G26,adcQ2_p<3>,IOB,IO_L2P_SM6P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
H1,riserv_n<3>,IOBS,IO_L2N_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
H2,riserv_n<4>,IOB,IO_L7N_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
H3,riserv_p<5>,IOBM,IO_L5P_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
H4,dataUsb<6>,IOB,IO_L6P_12,BIDIR,LVCMOS33,12,12,SLOW,,NONE,,LOCATED,NO,NONE,
H5,,,VCCO_12,,,12,,,,,3.30,,,,
H6,rdUsb_n,IOB,IO_L5P_12,OUTPUT,LVCMOS33,12,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
H7,wrUsb,IOB,IO_L4N_VREF_12,TRISTATE,LVCMOS33,12,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
H8,,IOBS,IO_L9N_CC_A0_D16_1,UNUSED,,1,,,,,,,,,
H9,,IOBM,IO_L9P_CC_A1_D17_1,UNUSED,,1,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,IOBM,IO_L5P_A9_D25_1,UNUSED,,1,,,,,,,,,
H12,,IOBS,IO_L3N_A12_D28_1,UNUSED,,1,,,,,,,,,
H13,,IOBS,IO_L1N_A16_1,UNUSED,,1,,,,,,,,,
H14,,IOBM,IO_L1P_A17_1,UNUSED,,1,,,,,,,,,
H15,,,VCCINT,,,,,,,,1.0,,,,
H16,,IOBS,IO_L4N_VREF_A10_D26_1,UNUSED,,1,,,,,,,,,
H17,adcQL1Sdo,IOB,IO_L6P_A7_D23_1,INPUT,LVCMOS18,1,,,,NONE,,LOCATED,NO,NONE,
H18,adcQL1Rst_n,IOB,IO_L8N_CC_A2_D18_1,TRISTATE,LVCMOS18,1,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
H19,adcI1Rst_n,IOB,IO_L6N_11,TRISTATE,LVCMOS18,11,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
H20,,,GND,,,,,,,,,,,,
H21,adcI2Sdio,IOB,IO_L5P_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
H22,adcQ2Cs_n,IOB,IO_L5N_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
H23,adcQ2Sdio,IOB,IO_L7P_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
H24,adcQ2_p<4>,IOB,IO_L5P_SM4P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
H25,,,VCCO_11,,,11,,,,,1.80,,,,
H26,adcQ2_n<3>,IOB,IO_L2N_SM6N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
J1,riserv_p<4>,IOB,IO_L7P_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
J2,,,VCCO_12,,,12,,,,,3.30,,,,
J3,riserv_n<5>,IOBS,IO_L5N_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
J4,dataUsb<7>,IOB,IO_L7N_12,BIDIR,LVCMOS33,12,12,SLOW,,NONE,,LOCATED,NO,NONE,
J5,txe_n,IOB,IO_L7P_12,INPUT,LVCMOS33,12,,,PULLUP,NONE,,LOCATED,NO,NONE,
J6,rxf_n,IOB,IO_L4P_12,INPUT,LVCMOS33,12,,,PULLUP,NONE,,LOCATED,NO,NONE,
J7,,,GND,,,,,,,,,,,,
J8,,,VCCAUX,,,,,,,,2.5,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,CCLK_0,,,,,,,,,,,,
J11,,,INIT_B_0,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.0,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,VCCINT,,,,,,,,1.0,,,,
J15,,,GND,,,,,,,,,,,,
J16,,,VCCINT,,,,,,,,1.0,,,,
J17,,,GND,,,,,,,,,,,,
J18,,,PROGRAM_B_0,,,,,,,,,,,,
J19,adcI1Sdo,IOB,IO_L6P_11,INPUT,LVCMOS18,11,,,,NONE,,LOCATED,NO,NONE,
J20,adcI1Sclk,IOB,IO_L8N_CC_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
J21,adcQ2Sclk,IOB,IO_L8P_CC_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
J22,,,VCCO_11,,,11,,,,,1.80,,,,
J23,adcQ2Sdo,IOB,IO_L7N_11,INPUT,LVCMOS18,11,,,,NONE,,LOCATED,NO,NONE,
J24,adcQ2_n<4>,IOB,IO_L5N_SM4N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
J25,adcQ2_p<5>,IOB,IO_L4P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
J26,adcQ2_n<5>,IOB,IO_L4N_VREF_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
K1,riserv_n<7>,IOB,IO_L6N_14,INPUT,LVCMOS25*,14,,,,NONE,,LOCATED,NO,NONE,
K2,riserv_n<6>,IOB,IO_L4N_VREF_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
K3,riserv_p<6>,IOB,IO_L4P_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
K4,,,GND,,,,,,,,,,,,
K5,ioFpga_13,IOB,IO_L10P_CC_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
K6,ioFpga_14,IOB,IO_L8P_CC_12,OUTPUT,LVCMOS33,12,12,SLOW,PULLDOWN,,,LOCATED,NO,NONE,
K7,ioFpga_15,IOB,IO_L8N_CC_12,OUTPUT,LVCMOS33,12,12,SLOW,PULLDOWN,,,LOCATED,NO,NONE,
K8,,,GND,,,,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.0,,,,
K10,,,DONE_0,,,,,,,,,,,,
K11,,,D_IN_0,,,,,,,,,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.0,,,,
K14,,,GND,,,,,,,,,,,,
K15,,,VCCINT,,,,,,,,1.0,,,,
K16,,,GND,,,,,,,,,,,,
K17,,,VCCAUX,,,,,,,,2.5,,,,
K18,,,VBATT_0,,,,,,,,,,,,
K19,,,GND,,,,,,,,,,,,
K20,adcI1Cs_n,IOB,IO_L9N_CC_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
K21,adcI1Sdio,IOB,IO_L9P_CC_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
K22,,IOBS,IO_L10N_CC_SM15N_11,UNUSED,,11,,,,,,,,,
K23,adcQ3Sdio,IOB,IO_L10P_CC_SM15P_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
K24,,,GND,,,,,,,,,,,,
K25,adcQ2_p<6>,IOB,IO_L7P_SM2P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
K26,adcQ2_n<6>,IOB,IO_L7N_SM2N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
L1,,,GND,,,,,,,,,,,,
L2,riserv_p<7>,IOB,IO_L6P_14,INPUT,LVCMOS25*,14,,,,NONE,,LOCATED,NO,NONE,
L3,,IOBS,IO_L11N_CC_12,UNUSED,,12,,,,,,,,,
L4,ioFpga_11,IOB,IO_L11P_CC_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
L5,ioFpga_12,IOB,IO_L10N_CC_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
L6,,,VCCO_12,,,12,,,,,3.30,,,,
L7,dacSda,IOB,IO_L9P_CC_12,TRISTATE,LVCMOS33,12,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
L8,,,VCCAUX,,,,,,,,2.5,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.0,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.0,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.0,,,,
L15,,,GND,,,,,,,,,,,,
L16,,,VCCINT,,,,,,,,1.0,,,,
L17,,,GND,,,,,,,,,,,,
L18,,,HSWAPEN_0,,,,,,,,,,,,
L19,,IOBS,IO_L11N_CC_SM14N_11,UNUSED,,11,,,,,,,,,
L20,,IOBM,IO_L11P_CC_SM14P_11,UNUSED,,11,,,,,,,,,
L21,,,GND,,,,,,,,,,,,
L22,adcQ3Cs_n,IOB,IO_L12N_VRP_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
L23,adcQ3Sclk,IOB,IO_L12P_VRN_11,OUTPUT,LVCMOS18,11,12,SLOW,,,,LOCATED,NO,NONE,
L24,adcQ2_p<7>,IOB,IO_L6P_SM3P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
L25,adcQ2_n<7>,IOB,IO_L6N_SM3N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
L26,,,GND,,,,,,,,,,,,
M1,sdo_p,IOBM,IO_L8P_CC_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
M2,,IOBM,IO_L9P_CC_14,UNUSED,,14,,,,,,,,,
M3,,,GND,,,,,,,,,,,,
M4,idFpga,IOB,IO_L15P_12,INPUT,LVCMOS33,12,,,,NONE,,LOCATED,NO,NONE,
M5,,IOBM,IO_L12P_VRN_12,UNUSED,,12,,,,,,,,,
M6,,IOBS,IO_L12N_VRP_12,UNUSED,,12,,,,,,,,,
M7,dacScl,IOB,IO_L9N_CC_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
M8,,,GND,,,,,,,,,,,,
M9,,,VCCINT,,,,,,,,1.0,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.0,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,AVSS_0,,,,,,,,,,,,
M14,,,AVDD_0,,,,,,,,,,,,
M15,,,VCCINT,,,,,,,,1.0,,,,
M16,,,GND,,,,,,,,,,,,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,,,GND,,,,,,,,,,,,
M19,,IOBS,IO_L15N_SM13N_11,UNUSED,,11,,,,,,,,,
M20,,IOBM,IO_L15P_SM13P_11,UNUSED,,11,,,,,,,,,
M21,,IOBS,IO_L13N_11,UNUSED,,11,,,,,,,,,
M22,adcQ3Sdo,IOB,IO_L13P_11,INPUT,LVCMOS18,11,,,,NONE,,LOCATED,NO,NONE,
M23,,,VCCO_13,,,13,,,,,any******,,,,
M24,,IOBM,IO_L9P_CC_SM0P_13,UNUSED,,13,,,,,,,,,
M25,ckAdcQ2_p,IOB,IO_L8P_CC_SM1P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
M26,ckAdcQ2_n,IOB,IO_L8N_CC_SM1N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
N1,sdo_n,IOBS,IO_L8N_CC_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
N2,,IOBS,IO_L9N_CC_14,UNUSED,,14,,,,,,,,,
N3,,IOBS,IO_L14N_VREF_12,UNUSED,,12,,,,,,,,,
N4,ledRouge,IOB,IO_L15N_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
N5,,,GND,,,,,,,,,,,,
N6,adjust1,IOB,IO_L13N_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
N7,,IOBM,IO_L13P_12,UNUSED,,12,,,,,,,,,
N8,,,VCCAUX,,,,,,,,2.5,,,,
N9,,,GND,,,,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.0,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.0,,,,
N13,,,VREFN_0,,,,,,,,,,,,
N14,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
N15,,,GND,,,,,,,,,,,,
N16,,,VCCINT,,,,,,,,1.0,,,,
N17,,,GND,,,,,,,,,,,,
N18,,,CS_B_0,,,,,,,,,,,,
N19,,IOBS,IO_L14N_VREF_11,UNUSED,,11,,,,,,,,,
N20,,,VCCO_13,,,13,,,,,any******,,,,
N21,,IOBS,IO_L17N_SM11N_11,UNUSED,,11,,,,,,,,,
N22,,IOBM,IO_L17P_SM11P_11,UNUSED,,11,,,,,,,,,
N23,,IOBS,IO_L16N_SM12N_11,UNUSED,,11,,,,,,,,,
N24,,IOBS,IO_L9N_CC_SM0N_13,UNUSED,,13,,,,,,,,,
N25,,,GND,,,,,,,,,,,,
N26,ckAdcQ3_n,IOB,IO_L10N_CC_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
P1,sdi_H_p,IOB,IO_L10P_CC_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
P2,,,GND,,,,,,,,,,,,
P3,,IOBM,IO_L14P_12,UNUSED,,12,,,,,,,,,
P4,ledJaune,IOB,IO_L16N_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
P5,,IOBM,IO_L16P_12,UNUSED,,12,,,,,,,,,
P6,adjust3,IOB,IO_L19P_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
P7,,,GND,,,,,,,,,,,,
P8,,,GND,,,,,,,,,,,,
P9,,,VCCINT,,,,,,,,1.0,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCINT,,,,,,,,1.0,,,,
P12,,,GND,,,,,,,,,,,,
P13,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
P14,,,VREFP_0,,,,,,,,,,,,
P15,,,VCCINT,,,,,,,,1.0,,,,
P16,,,GND,,,,,,,,,,,,
P17,,,VCCAUX,,,,,,,,2.5,,,,
P18,,,RDWR_B_0,,,,,,,,,,,,
P19,,IOBM,IO_L14P_11,UNUSED,,11,,,,,,,,,
P20,,IOBS,IO_L19N_SM9N_11,UNUSED,,11,,,,,,,,,
P21,,IOBM,IO_L19P_SM9P_11,UNUSED,,11,,,,,,,,,
P22,,,GND,,,,,,,,,,,,
P23,,IOBM,IO_L16P_SM12P_11,UNUSED,,11,,,,,,,,,
P24,,IOBS,IO_L11N_CC_13,UNUSED,,13,,,,,,,,,
P25,,IOBM,IO_L11P_CC_13,UNUSED,,13,,,,,,,,,
P26,ckAdcQ3_p,IOB,IO_L10P_CC_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
R1,sdi_H_n,IOB,IO_L10N_CC_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
R2,sdi_L_n,IOB,IO_L11N_CC_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
R3,ledVerte,IOB,IO_L17P_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
R4,,,VCCO_14,,,14,,,,,2.50,,,,
R5,,IOBS,IO_L18N_12,UNUSED,,12,,,,,,,,,
R6,adjust2,IOB,IO_L18P_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
R7,,IOBS,IO_L19N_12,UNUSED,,12,,,,,,,,,
R8,,,VCCAUX,,,,,,,,2.5,,,,
R9,,,GND,,,,,,,,,,,,
R10,,,VCCINT,,,,,,,,1.0,,,,
R11,,,GND,,,,,,,,,,,,
R12,,,VCCINT,,,,,,,,1.0,,,,
R13,,,DXN_0,,,,,,,,,,,,
R14,,,DXP_0,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,
R16,,,VCCINT,,,,,,,,1.0,,,,
R17,,,GND,,,,,,,,,,,,
R18,,,RSVD_0,,,,,,,,,,,,
R19,,,GND,,,,,,,,,,,,
R20,,IOBS,IO_L1N_17,UNUSED,,17,,,,,,,,,
R21,,IOBM,IO_L1P_17,UNUSED,,17,,,,,,,,,
R22,,IOBM,IO_L18P_SM10P_11,UNUSED,,11,,,,,,,,,
R23,,IOBS,IO_L18N_SM10N_11,UNUSED,,11,,,,,,,,,
R24,,,VCCO_13,,,13,,,,,any******,,,,
R25,adcQ3_p<0>,IOB,IO_L12P_VRN_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
R26,adcQ3_n<0>,IOB,IO_L12N_VRP_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
T1,,,GND,,,,,,,,,,,,
T2,sdi_L_p,IOB,IO_L11P_CC_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
T3,ledBleue,IOB,IO_L17N_12,OUTPUT,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
T4,ioFpga_18,IOB,IO_L1N_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
T5,ioFpga_20,IOB,IO_L1P_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
T6,,,GND,,,,,,,,,,,,
T7,,IOBM,IO_L2P_18,UNUSED,,18,,,,,,,,,
T8,,,GND,,,,,,,,,,,,
T9,,,VCCINT,,,,,,,,1.0,,,,
T10,,,GND,,,,,,,,,,,,
T11,,,VCCINT,,,,,,,,1.0,,,,
T12,,,GND,,,,,,,,,,,,
T13,,,VCCINT,,,,,,,,1.0,,,,
T14,,,GND,,,,,,,,,,,,
T15,,,VCCINT,,,,,,,,1.0,,,,
T16,,,GND,,,,,,,,,,,,
T17,,,VCCAUX,,,,,,,,2.5,,,,
T18,,,RSVD_0,,,,,,,,,,,,
T19,,IOBS,IO_L2N_17,UNUSED,,17,,,,,,,,,
T20,,IOBM,IO_L2P_17,UNUSED,,17,,,,,,,,,
T21,,,VCCO_17,,,17,,,,,2.50,,,,
T22,,IOBS,IO_L0N_17,UNUSED,,17,,,,,,,,,
T23,,IOBM,IO_L0P_17,UNUSED,,17,,,,,,,,,
T24,adcQ3_p<1>,IOB,IO_L13P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
T25,adcQ3_n<1>,IOB,IO_L13N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
T26,,,GND,,,,,,,,,,,,
U1,sdo_L_n,IOBS,IO_L12N_VRP_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
U2,sdo_L_p,IOBM,IO_L12P_VRN_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
U3,,,GND,,,,,,,,,,,,
U4,ioFpga_17,IOB,IO_L0N_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
U5,ioFpga_19,IOB,IO_L3P_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
U6,ioFpga_21,IOB,IO_L3N_18,INPUT,LVCMOS33,18,,,,NONE,,LOCATED,NO,NONE,
U7,,IOBS,IO_L2N_18,UNUSED,,18,,,,,,,,,
U8,,,VCCAUX,,,,,,,,2.5,,,,
U9,,,GND,,,,,,,,,,,,
U10,,,VCCINT,,,,,,,,1.0,,,,
U11,,,TCK_0,,,,,,,,,,,,
U12,,,VCCINT,,,,,,,,1.0,,,,
U13,,,GND,,,,,,,,,,,,
U14,,,VCCINT,,,,,,,,1.0,,,,
U15,,,GND,,,,,,,,,,,,
U16,,,VCCINT,,,,,,,,1.0,,,,
U17,,,GND,,,,,,,,,,,,
U18,,,GND,,,,,,,,,,,,
U19,ioFpga_10,IOB,IO_L14P_17,INPUT,LVCMOS25*,17,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
U20,,IOBS,IO_L14N_VREF_17,UNUSED,,17,,,,,,,,,
U21,,IOBS,IO_L3N_17,UNUSED,,17,,,,,,,,,
U22,,IOBM,IO_L3P_17,UNUSED,,17,,,,,,,,,
U23,,,GND,,,,,,,,,,,,
U24,adcQ3_p<2>,IOB,IO_L15P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
U25,adcQ3_n<2>,IOB,IO_L15N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
U26,adcQ3_n<3>,IOB,IO_L14N_VREF_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
V1,sdo_H_n,IOBS,IO_L13N_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
